cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight,zraw
MSpapapa:240,MSpapapa,240,11340,-13660,71,64,11340,36,336,217,31,258734,19.8
MSpapapaa:355,MSpapapaa,355,0,0,0,0,0,0,0,0,0,0,0
MSpapapap:355,MSpapapap,355,0,0,0,0,0,0,0,0,0,0,0
MSpapapp:240,MSpapapp,240,11262,-13738,-69,-70,11262,31.9,370,210,32,218772,21.4
MSpapappa:290,MSpapappa,290,0,0,0,0,0,0,0,0,0,0,0
MSpapappp:290,MSpapappp,290,0,0,0,0,0,0,0,0,0,0,0
MSpapp:146,MSpapp,146,11408,-13592,88,88,11408,64.4,450,299,43,199024,8.2
MSpappa:193,MSpappa,193,11189,-13811,22,26,11189,59.2,388,219,34,225323,10.3
MSpappaa:270,MSpappaa,270,0,0,0,0,0,0,0,0,0,0,0
MSpappap:270,MSpappap,270,0,0,0,0,0,0,0,0,0,0,0
MSpappp:193,MSpappp,193,11341,-13659,-73,-34,11341,51.2,426,212,38,259109,13.6
MSpapppa:270,MSpapppa,270,11375,-13625,-171,-207,11375,27.4,401,179,31,227433,23.2
MSpapppaa:345,MSpapppaa,345,0,0,0,0,0,0,0,0,0,0,0
MSpapppap:345,MSpapppap,345,0,0,0,0,0,0,0,0,0,0,0
MSpapppp:270,MSpapppp,270,11458,-13542,-137,-68,11458,41.4,442,202,33,235829,17.6
MSpappppa:360,MSpappppa,360,0,0,0,0,0,0,0,0,0,0,0
MSpappppp:360,MSpappppp,360,0,0,0,0,0,0,0,0,0,0,0
MSpp:87,MSpp,87,12267,-12733,356,355,12267,60.8,418,252,55,471131,9.7
MSppa:115,MSppa,115,11992,-13008,260,260,11992,53,435,211,47,310608,12.9
MSppaa:150,MSppaa,150,11532,-13468,195,193,11532,29.6,323,196,40,371365,22.4
MSppaaa:190,MSppaaa,190,11420,-13580,108,103,11420,27,208,175,35,432031,23.4
MSppaaaa:240,MSppaaaa,240,11303,-13697,-12,-22,11303,40,207,174,31,337533,18.1
MSppaaaad:365,MSppaaaad,365,0,0,0,0,0,0,0,0,0,0,0
MSppaaaav:365,MSppaaaav,365,0,0,0,0,0,0,0,0,0,0,0
MSppaaap:240,MSppaaap,240,11317,-13683,-26,-21,11317,21.2,223,183,29,275989,25.7
MSppaap:190,MSppaap,190,12035,-12965,673,667,12035,27.6,273,170,34,417339,23.2
MSppaapa:260,MSppaapa,260,0,0,0,0,0,0,0,0,0,0,0
MSppaapp:260,MSppaapp,260,0,0,0,0,0,0,0,0,0,0,0
MSppap:150,MSppap,150,11418,-13582,98,99,11418,25,386,204,42,386591,24.2
MSppapa:180,MSppapa,180,11401,-13599,93,85,11401,5.5,296,177,36,432516,32.1
MSppapaa:240,MSppapaa,240,11363,-13637,-42,-47,11363,8.2,243,172,29,306903,30.9
MSppapaaa:440,MSppapaaa,440,0,0,0,0,0,0,0,0,0,0,0
MSppapaap:440,MSppapaap,440,0,0,0,0,0,0,0,0,0,0,0
MSppapap:240,MSppapap,240,11376,-13624,-56,-81,11376,4.5,285,174,30,303765,32.5
MSppapp:180,MSppapp,180,11384,-13616,19,20,11384,-5.7,335,172,36,442948,36.6
MSppappa:250,MSppappa,250,11361,-13639,-35,-57,11361,-12.8,247,180,34,409080,39.5
MSppappp:250,MSppappp,250,11435,-13565,-65,-54,11435,-16.9,303,182,30,281756,41.1
MSppp:115,MSppp,115,11968,-13032,176,176,11968,66.7,492,297,49,337396,7.3
MSpppa:150,MSpppa,150,11471,-13529,157,160,11471,40.3,427,200,40,294178,18
MSpppaa:195,MSpppaa,195,11514,-13486,192,208,11514,29,330,172,36,405007,22.6
MSpppaaa:263,MSpppaaa,263,0,0,0,0,0,0,0,0,0,0,0
MSpppaap:263,MSpppaap,263,0,0,0,0,0,0,0,0,0,0,0
MSpppap:195,MSpppap,195,11498,-13502,41,90,11498,27.6,366,156,36,447388,23.1
MSpppapa:270,MSpppapa,270,0,0,0,0,0,0,0,0,0,0,0
MSpppapp:270,MSpppapp,270,0,0,0,0,0,0,0,0,0,0,0
MSpppp:150,MSpppp,150,11603,-13397,164,165,11603,31.2,475,193,41,425583,21.7
MSppppa:195,MSppppa,195,11486,-13514,-61,13,11486,3.8,355,155,36,508946,32.8
MSppppaa:260,MSppppaa,260,0,0,0,0,0,0,0,0,0,0,0
MSppppap:260,MSppppap,260,0,0,0,0,0,0,0,0,0,0,0
MSppppp:195,MSppppp,195,11532,-13468,-121,-64,11532,-7.5,416,153,37,507796,37.3
MSpppppa:260,MSpppppa,260,0,0,0,0,0,0,0,0,0,0,0
MSpppppp:260,MSpppppp,260,0,0,0,0,0,0,0,0,0,0,0
E:40,E,40,12096,-12904,603,604,12096,25.2,481,364,67,1452050,24.1
Ea:63,Ea,63,12840,-12160,885,885,12840,24.1,387,338,63,1305441,24.6
