cellTime,cell,time,none,global,local,blot,cross,z,x,y,size,gweight
ABplpaapap:98,ABplpaapap,98,4986,-20013,-41,-34,4986,34.0,427,420,33,528557
ABplpaapapa:140,ABplpaapapa,140,4757,-20242,-41,-24,4757,33.8,482,427,32,488604
ABplpaapapp:140,ABplpaapapp,140,4789,-20210,-27,-28,4789,27.6,460,429,26,157544
ABplpaapp:71,ABplpaapp,71,5205,-19795,-84,-91,5205,27.8,401,412,38,442109
ABplpaappa:97,ABplpaappa,97,5082,-19917,-70,-81,5082,36.8,389,404,33,539706
ABplpaappaa:138,ABplpaappaa,138,4828,-20171,-124,-154,4828,33.7,428,389,30,471982
ABplpaappap:138,ABplpaappap,138,4879,-20120,-203,-218,4879,38.6,392,390,30,458921
ABplpaappp:97,ABplpaappp,97,5059,-19940,18,12,5059,32.6,361,418,35,568125
ABplpaapppa:134,ABplpaapppa,134,4749,-20250,-90,-102,4749,25.5,431,411,30,473248
ABplpaapppp:134,ABplpaapppp,134,4688,-20311,-140,-162,4688,21.7,415,397,28,334028
ABplpap:34,ABplpap,34,6032,-18967,-157,-155,6032,36.2,320,404,51,1134676
ABplpapa:51,ABplpapa,51,5774,-19225,-60,-56,5774,31.5,424,407,43,541984
ABplpapaa:71,ABplpapaa,71,5065,-19934,-63,-68,5065,16.9,415,372,38,290659
ABplpapaaa:100,ABplpapaaa,100,4918,-20081,-124,-114,4918,21.8,409,357,31,355334
ABplpapaaaa:143,ABplpapaaaa,143,4655,-20344,-51,-55,4655,16.1,435,336,26,224205
ABplpapaaap:143,ABplpapaaap,143,4663,-20336,-55,-60,4663,17.6,403,340,27,254959
ABplpapaap:100,ABplpapaap,100,4912,-20087,-97,-85,4912,22.2,376,372,32,366465
ABplpapaapa:144,ABplpapaapa,144,4656,-20343,-86,-95,4656,17.6,434,362,29,392661
ABplpapaapp:144,ABplpapaapp,144,4676,-20323,-91,-106,4676,19.5,403,364,28,312415
ABplpapap:71,ABplpapap,71,5096,-19903,-24,-27,5096,15.8,386,357,37,236152
ABplpapapa:98,ABplpapapa,98,4872,-20127,-54,-57,4872,17.0,355,362,33,290143
ABplpapapaa:138,ABplpapapaa,138,4777,-20222,-77,-86,4777,19.0,376,333,28,276632
ABplpapapap:138,ABplpapapap,138,4882,-20117,-87,-113,4882,18.6,342,328,30,307185
ABplpapapp:98,ABplpapapp,98,4902,-20097,-14,-6,4902,14.2,319,341,31,196654
ABplpapappa:137,ABplpapappa,137,4780,-20219,-62,-60,4780,15.3,333,302,28,192829
